ARS-ID,정류소명
03541,숙대역7번출구
03542,보광동삼거리
03543,중앙하이츠빌라
03544,원효우체국
03545,보광초등학교
03546,용문동시장.새마을금고
03549,수미용실
03550,용문동주민센터
03551,문배어린이공원
03552,문배어린이공원
03553,영동김밥
03554,한강대교(가상)
03557,도깨비시장
03560,리버힐빌라앞
03561,신용산역
03563,보광교회
03564,KT용산지점
03565,숙대역5번출구
03566,이슬람사원
03567,삼각지역
03568,갈월동
03569,보광초등학교후문앞
03570,반포대교(가상)
03571,동자경로당
03572,이태원역앞
03573,녹사평역.용산구청
03574,후암시장
03577,후암동주민센터앞
03578,제일기획
03579,대성교회
03580,용산고
03581,성도약국
03582,후암동종점
03583,디지텍고등학교앞
03584,큰빛의집앞
03585,가야랑앞
03586,신흥교회앞
03588,해방촌오거리
03589,남산교회입구
03590,우리들가정의원
03591,용암한신아파트
03592,용암경로당입구
03593,한신아파트
03594,갑을빌딩
03595,리버힐삼성아파트후문
03596,만리시장입구
03597,배문중고등학교
03598,청파초등학교
03688,청파초등학교
03689,청암자이아파트
03699,배문중고교
03700,만리시장입구
03709,청암자이아파트
03737,도원삼성래미안아파트단지내
03742,한남동주민센터
03743,용산CJ나인파크
03744,용산e편한세상
03753,필리핀대사관
03754,필리핀대사관
03900,전쟁기념관
03901,용산역
03902,국립중앙박물관
03903,이태원
03904,남산서울타워
03905,하얏트호텔
03906,힐튼호텔
03907,남산도서관
04001,답십리역사거리
04002,청년회의소.서울새활용플라자
04003,장한평역
04101,상왕십리역
04102,상왕십리역
04103,왕십리센트라스아파트
04104,왕십리교회
04105,뉴타운아파트
04106,청계벽산아파트.텐즈힐아파트
04107,청계벽산아파트.텐즈힐아파트
04108,왕십리도선동주민센터
04109,왕십리2동주민센터
04110,코스모타워.서울신용보증재단성동지점
04112,성동구청
04113,상왕십리역
04114,상왕십리역.센트라스아파트
04116,마장동주민센터
04117,마장역
04118,성동노인복지관
04119,마장축산물시장
04120,마장축산물시장
04121,도선사거리
04122,도선사거리
04123,마장동금호아파트
04124,마장동금호아파트
04125,한양대부속고등학교
04126,한양대부속고등학교
04127,한양대앞.한양시장
04128,한양대앞
04129,한양대정문
04130,한양대정문앞
04131,무학여고앞
04132,무학여고
04133,왕십리역
04134,왕십리역
04135,왕십리역
04136,행당1동주민센터.성동소방서
04137,서울숲삼부아파트
04138,응봉동주민센터
04139,응봉동주민센터
04140,응봉사거리
04141,응봉동현대아파트
04142,응봉동현대아파트
04143,대현산배수지공원입구
04145,신금호역
04146,신금호역
04147,금호고등학교
04148,금호고등학교.금호자이1차아파트입구
04149,금호동벽산아파트
04150,래미안하이리버아파트
04151,금호사거리
04152,금호사거리
04153,금남시장앞.백범학원터
04154,금남시장앞.백범학원터
04155,금호역
04156,금호역
04157,금옥초등학교앞
04158,금옥초등학교앞
04159,힐스테이트서울숲리버아파트
04160,삼성래미안아파트앞
04161,옥수삼성아파트.래미안옥수리버젠
04162,옥수삼성아파트.래미안옥수리버젠
04163,미타사입구
04164,래미안옥수리버젠.옥수중앙교회
04165,래미안옥수리버젠.옥수중앙교회
04166,옥수파크힐스아파트앞
04167,옥수파크힐스아파트앞
04168,옥수동종점
04169,옥정중학교입구
04170,옥정중학교입구
04171,성수1가1동새마을금고
04172,성수1가새마을금고
04173,천주교성수동성당앞
04174,천주교성수동성당앞
04175,뚝도아리수정수센터수도박물관
04176,뚝도아리수정수센터수도박물관
04177,서울숲
04178,서울숲
04179,성동구민종합체육센터
04180,성동구민종합체육센터
04181,성수공고앞
04182,성수공고앞
04183,경일초등학교입구
04184,경일초등학교입구
04185,성동교남단
04186,성동교남단
04187,상원
04188,상원
04189,영동대교북단
04190,경수중학교
04191,성수119안전센터
04192,성수119안전센터
04193,경수중학교
